client_id,model,val_mae
MT_001,Naive_Blend,1.7398105278815943
MT_002,Naive_Blend,1.4300425895820634
MT_003,Naive_168h,0.002759783656829712
MT_004,XGBoost,9.30346045124086
MT_005,Naive_Blend,5.710942385866169
MT_006,LGB_XGB_Blend,14.5745924488723
MT_007,Naive_24h,1.5137035213702827
MT_008,LGB_XGB_Blend,15.760248303338669
MT_009,XGBoost,6.614988516527881
MT_010,XGBoost,10.134241032106935
MT_011,XGBoost,3.6379708301157665
MT_012,LGB_XGB_Blend,11.162084183691965
MT_013,Naive_168h,9.78208108571915
MT_014,LGB_XGB_Blend,4.177193831033051
MT_015,LGB_XGB_Blend,3.6687533496352343
MT_016,Naive_Blend,3.2003812918111216
MT_017,XGBoost,3.0531991608373596
MT_018,XGBoost,25.409203741420395
MT_019,Naive_Blend,0.901299502031679
MT_020,XGBoost,5.4700016276615315
MT_021,XGBoost,11.72094643589012
MT_022,XGBoost,3.914045990650804
MT_023,Naive_Blend,1.329205507553132
MT_024,XGBoost,3.263751555545799
MT_025,XGBoost,20.50611582390355
MT_026,Naive_168h,2.3315755572111527
MT_027,Naive_Blend,2.0492819832420928
MT_028,XGBoost,5.865959965941303
MT_029,XGBoost,9.73243518370696
MT_030,Naive_Blend,3.0478026519769714
MT_031,XGBoost,6.4512717875299925
MT_032,Naive_Blend,2.583245563061428
MT_033,XGBoost,3.274854937372903
MT_034,Naive_Blend,1.4563465151584916
MT_035,XGBoost,10.741219810677153
MT_036,XGBoost,9.314410188961286
MT_037,XGBoost,9.923754869987413
MT_038,LightGBM,7.718259941536677
MT_039,XGBoost,3.8433468520511402
MT_040,Naive_24h,2.3994435052127376
MT_041,XGBoost,6.358982230955627
MT_042,XGBoost,3.9095414893477827
MT_043,XGBoost,82.45897601137467
MT_044,Naive_Blend,2.7883887314099316
MT_045,XGBoost,14.509357505419924
MT_046,XGBoost,12.25756832549527
MT_047,XGBoost,3.1217414622678508
MT_048,Naive_Blend,1.6414796229847264
MT_049,XGBoost,62.74755001295941
MT_050,XGBoost,13.063891601845645
MT_051,XGBoost,5.831273504860983
MT_052,Naive_Blend,2.9187727701182546
MT_053,XGBoost,6.129615036312894
MT_054,XGBoost,4.091480294115714
MT_055,Naive_Blend,2.429401667805756
MT_056,Naive_Blend,2.5541426078162726
MT_057,XGBoost,3.4962881264316144
MT_058,XGBoost,7.734788899166708
MT_059,LightGBM,13.773643265021343
MT_060,Naive_Blend,2.2104810943085114
MT_061,XGBoost,7.768237209184497
MT_062,Naive_Blend,4.722727377437563
MT_063,Naive_Blend,2.160600443421028
MT_064,XGBoost,120.21938034316295
MT_065,XGBoost,5.867020300955499
MT_066,Naive_Blend,2.967939066121689
MT_067,XGBoost,19.111040020340457
MT_068,LGB_XGB_Blend,11.626752953310584
MT_069,XGBoost,12.167572327016565
MT_070,XGBoost,3.225882148221192
MT_071,Naive_Blend,3.1450161045050864
MT_072,XGBoost,6.97011577483677
MT_073,Naive_Blend,5.775617964886387
MT_074,XGBoost,6.161368880342431
MT_075,Naive_Blend,3.653452457115616
MT_076,XGBoost,4.9869546705736445
MT_077,LGB_XGB_Blend,5.051222108182366
MT_078,XGBoost,2.7178563670026015
MT_079,Naive_Blend,5.284330194079486
MT_080,Naive_Blend,1.8731507482496406
MT_081,XGBoost,7.633789706985801
MT_082,XGBoost,2.6228975363774527
MT_083,XGBoost,4.48074077556239
MT_084,XGBoost,26.73020606388737
MT_085,XGBoost,8.943823141139754
MT_086,XGBoost,41.25811785844473
MT_087,XGBoost,10.191725527555711
MT_088,XGBoost,18.399895676277886
MT_089,LGB_XGB_Blend,19.54219945832557
MT_090,XGBoost,26.82852118958713
MT_091,XGBoost,12.026582969034143
MT_092,Naive_168h,5.923127946711473
MT_093,XGBoost,20.090604657561542
MT_094,XGBoost,10.938251131149999
MT_095,Naive_168h,2.629860699366985
MT_096,Naive_168h,1.9075916082709563
MT_097,XGBoost,25.62892399022984
MT_098,XGBoost,39.31991160072818
MT_099,XGBoost,89.60851151602608
MT_100,Naive_24h,3.8769468852275115
MT_101,XGBoost,30.473168612445484
MT_102,Naive_Blend,90.84297918753417
MT_103,XGBoost,49.71032602231791
MT_104,Naive_24h,27.218259257244412
MT_105,XGBoost,22.450596364966255
MT_106,Naive_168h,5.268524154528113
MT_107,Naive_Blend,2.7872801238095404
MT_108,Naive_24h,3.364178786100153
MT_109,XGBoost,11.071312110211613
MT_110,XGBoost,8.590364884818998
MT_111,XGBoost,6.675959704215065
MT_112,Naive_Blend,5.988834805474546
MT_113,Naive_Blend,3.6126027664068743
MT_114,XGBoost,33.08199959499007
MT_115,Naive_Blend,4.233481947002126
MT_116,XGBoost,5.972828001093265
MT_117,Naive_24h,2.373327391045439
MT_118,Naive_Blend,7.164446147156017
MT_119,XGBoost,8.514670164352287
MT_120,Naive_Blend,3.6503208680419013
MT_121,Naive_Blend,20.737348555292698
MT_122,Naive_Blend,4.035907400290454
MT_123,LGB_XGB_Blend,6.331857599414805
MT_124,XGBoost,26.467559180327065
MT_125,Naive_Blend,3.683105798989291
MT_126,XGBoost,4.032407840775811
MT_127,XGBoost,13.354936930643627
MT_128,XGBoost,41.20371161842199
MT_129,XGBoost,7.067404919627181
MT_130,Naive_168h,13.852619450146939
MT_131,Naive_168h,25.039766006562882
MT_132,Naive_168h,4.12024359811754
MT_133,Naive_24h,1.3541557530967678
MT_134,Naive_168h,2.3512975751979956
MT_135,Naive_168h,2.389204739259707
MT_136,Naive_168h,6.986396052424286
MT_137,XGBoost,5.306677078907126
MT_138,XGBoost,14.161790019764023
MT_139,XGBoost,31.542654699308724
MT_140,XGBoost,25.126545646855103
MT_141,Naive_24h,0.34371568284555776
MT_142,Naive_24h,4.672807239266514
MT_143,XGBoost,14.582927483360642
MT_144,Naive_Blend,3.8287933683421276
MT_145,Naive_Blend,1.9410670607695117
MT_146,Naive_24h,1.8667254462708986
MT_147,Naive_Blend,49.90109192129005
MT_148,LGB_XGB_Blend,8.459973462644587
MT_149,Naive_Blend,1.0313670806051836
MT_150,Naive_24h,0.8886398689030361
MT_151,Naive_168h,7.570214401256605
MT_152,Naive_168h,31.221604622767426
MT_153,Naive_168h,8.771582125464604
MT_154,Naive_24h,1.7597019312964497
MT_155,XGBoost,21.529366791806286
MT_156,LGB_XGB_Blend,12.11243784620567
MT_157,Naive_168h,165.18829880794016
MT_158,Naive_168h,13.788814968732245
MT_159,XGBoost,13.413241548106898
MT_160,Naive_Blend,1.3445741033755272
MT_161,XGBoost,102.52595021881793
MT_162,Naive_168h,30.64133032485366
MT_163,XGBoost,127.5108585395336
MT_164,Naive_168h,14.113750334043258
MT_165,XGBoost,4.901194291681994
MT_166,XGBoost,61.02928038771656
MT_167,Naive_Blend,4.8059015680438195
MT_168,XGBoost,6.7772238328198435
MT_169,Naive_Blend,2.1235029338007085
MT_170,Naive_Blend,6.649351664820044
MT_171,XGBoost,10.76555060844039
MT_172,XGBoost,7.586652186160089
MT_173,XGBoost,3.8160255638915115
MT_174,XGBoost,9.382976199273381
MT_175,XGBoost,9.34328464708371
MT_176,XGBoost,4.840124002781967
MT_177,Naive_Blend,9.622935105064597
MT_178,XGBoost,31.479462922038437
MT_179,XGBoost,4.686235650982677
MT_180,XGBoost,12.448883595335978
MT_181,XGBoost,10.194016981190158
MT_182,Naive_Blend,2.7140820538325507
MT_183,XGBoost,5.761220514515939
MT_184,XGBoost,4.3458092625488645
MT_185,XGBoost,4.249428986144099
MT_186,LGB_XGB_Blend,27.112225751885518
MT_187,XGBoost,6.13881509069883
MT_188,Naive_Blend,1.8332481357016241
MT_189,XGBoost,20.30594389789145
MT_190,XGBoost,17.243859525400076
MT_191,XGBoost,75.85399992598478
MT_192,XGBoost,23.189692756738033
MT_193,XGBoost,11.61437696847122
MT_194,XGBoost,113.9695368559732
MT_195,XGBoost,29.386712624568126
MT_196,LGB_XGB_Blend,1083.1064871159663
MT_197,XGBoost,8.894080515666412
MT_198,XGBoost,18.548341813020144
MT_199,XGBoost,23.177747938731272
MT_200,XGBoost,31.77975932012614
MT_201,XGBoost,15.466244728572576
MT_202,XGBoost,9.897939545268253
MT_203,XGBoost,23.466856007221207
MT_204,XGBoost,41.485992981654846
MT_205,XGBoost,22.052544532559647
MT_206,XGBoost,11.943344259739362
MT_207,XGBoost,50.839657613072674
MT_208,LGB_XGB_Blend,265.7611578264533
MT_209,XGBoost,29.106004985697542
MT_210,XGBoost,28.20299082837453
MT_211,XGBoost,9.683717386085034
MT_212,XGBoost,14.133999819243344
MT_213,XGBoost,43.39601833548132
MT_214,XGBoost,19.95712930892577
MT_215,XGBoost,13.46656695914356
MT_216,XGBoost,73.3057581198118
MT_217,XGBoost,10.905389879117045
MT_218,XGBoost,52.59780252847956
MT_219,XGBoost,33.357419095262294
MT_220,XGBoost,151.7619158600259
MT_221,XGBoost,8.227035327747863
MT_222,XGBoost,38.6947829347827
MT_223,Naive_168h,0.0
MT_224,LGB_XGB_Blend,175.44726581995533
MT_225,XGBoost,13.046192781677393
MT_226,XGBoost,22.544073131075866
MT_227,XGBoost,11.203422311247813
MT_228,LGB_XGB_Blend,237.83085564060585
MT_229,XGBoost,32.29943866855431
MT_230,XGBoost,6.185854123874247
MT_231,XGBoost,30.58946501247132
MT_232,XGBoost,4.285113278430513
MT_233,XGBoost,5.465217161241997
MT_234,XGBoost,5.222039638213031
MT_235,XGBoost,46.07395476934636
MT_236,XGBoost,6.732797147036785
MT_237,XGBoost,4.238834571354318
MT_238,XGBoost,21.483137865730257
MT_239,XGBoost,6.647596001001659
MT_240,XGBoost,20.364355132693337
MT_241,XGBoost,121.35532241332743
MT_242,XGBoost,10.51396852850966
MT_243,XGBoost,7.554189427730092
MT_244,XGBoost,7.861623432917382
MT_245,XGBoost,9.622812494984089
MT_246,XGBoost,26.90961353425557
MT_247,XGBoost,26.582035526652415
MT_248,XGBoost,6.602637243878707
MT_249,XGBoost,4.750460267669971
MT_250,XGBoost,3.683685124619245
MT_251,XGBoost,3.96133851833611
MT_252,XGBoost,10.141221892584829
MT_253,XGBoost,20.202830852911354
MT_254,XGBoost,10.528805926988728
MT_255,XGBoost,36.554291177137046
MT_256,XGBoost,6.422766401963371
MT_257,XGBoost,6.290799872618443
MT_258,XGBoost,6.000546888771692
MT_259,XGBoost,6.57355711177727
MT_260,XGBoost,8.640501148245342
MT_261,Naive_Blend,4.264108099654974
MT_262,XGBoost,9.051759938188683
MT_263,XGBoost,11.747194917124748
MT_264,XGBoost,10.943735047910062
MT_265,XGBoost,8.921703115203414
MT_266,XGBoost,14.324824327210031
MT_267,XGBoost,3.8981609117582767
MT_268,XGBoost,11.842840739125293
MT_269,XGBoost,32.0152392319021
MT_270,XGBoost,3.740133058710485
MT_271,XGBoost,5.926512385873989
MT_272,XGBoost,6.319523652821682
MT_273,XGBoost,20.748545101044645
MT_274,XGBoost,15.556467417774165
MT_275,XGBoost,5.639586980714614
MT_276,XGBoost,89.65098191642652
MT_277,XGBoost,3.8852615224375198
MT_278,XGBoost,3.383472931030118
MT_279,LGB_XGB_Blend,511.0145736508971
MT_280,XGBoost,12.909290674372858
MT_281,XGBoost,4.183880841652774
MT_282,XGBoost,4.325410906315443
MT_283,XGBoost,8.735434123762069
MT_284,Naive_Blend,3.8339002411018392
MT_285,XGBoost,4.194470545450877
MT_286,XGBoost,6.456534708485902
MT_287,XGBoost,5.875596051660217
MT_288,XGBoost,7.964684801516083
MT_289,XGBoost,4.710054914935053
MT_290,XGBoost,33.752253039962156
MT_291,XGBoost,5.748571347670111
MT_292,XGBoost,12.936434677736015
MT_293,XGBoost,5.138718250993374
MT_294,XGBoost,27.332194077733753
MT_295,XGBoost,17.65403308178159
MT_296,XGBoost,3.98910630242033
MT_297,XGBoost,8.960135231629987
MT_298,XGBoost,37.39589695418196
MT_299,XGBoost,24.04012305913354
MT_300,XGBoost,5.669640650906584
MT_301,XGBoost,5.555131594226466
MT_302,XGBoost,5.73480021655092
MT_303,XGBoost,7.869348401282792
MT_304,XGBoost,4.116886953865443
MT_305,Naive_Blend,3.817273300348595
MT_306,XGBoost,4.350121755269163
MT_307,XGBoost,36.91550533160686
MT_308,XGBoost,5.567813108446206
MT_309,XGBoost,11.853960476929027
MT_310,XGBoost,29.174291234771562
MT_311,XGBoost,6.818888749395685
MT_312,XGBoost,21.0870154922844
MT_313,XGBoost,9.764750814467009
MT_314,XGBoost,48.100781070482995
MT_315,XGBoost,2.8633987939701733
MT_316,XGBoost,14.612052592795104
MT_317,XGBoost,21.80024378816137
MT_318,XGBoost,8.05856723908542
MT_319,XGBoost,4.152003138757381
MT_320,XGBoost,5.406057798435972
MT_321,XGBoost,5.556807040968398
MT_322,XGBoost,5.1415920344081645
MT_323,XGBoost,113.36367045579499
MT_324,XGBoost,16.57407241538971
MT_325,XGBoost,13.230135703302425
MT_326,XGBoost,11.521251501163766
MT_327,XGBoost,25.965043887220627
MT_328,XGBoost,64.53217193433765
MT_329,XGBoost,7.916789846927845
MT_330,XGBoost,4.56342519561013
MT_331,XGBoost,13.102507906195557
MT_332,Naive_168h,9.880757157568857
MT_333,Naive_Blend,5.053470847907462
MT_334,Naive_Blend,7.715597790815718
MT_335,Naive_24h,10.609636269750432
MT_336,Naive_24h,13.83063801970667
MT_337,XGBoost,10.564519187409482
MT_338,XGBoost,18.1644312840306
MT_339,XGBoost,221.81150036010953
MT_340,XGBoost,10.060253046840579
MT_341,XGBoost,43.89907846229857
MT_342,XGBoost,21.137433301452006
MT_343,Naive_Blend,12.996664953145016
MT_344,XGBoost,25.11313755930717
MT_345,XGBoost,93.51488620969815
MT_346,XGBoost,18.448941885416616
MT_347,Naive_24h,0.50743929609909
MT_348,Naive_168h,5.002627077906836
MT_349,XGBoost,22.103367325703125
MT_350,XGBoost,56.8650945842427
MT_351,XGBoost,130.54528153667516
MT_352,Naive_Blend,22.468597918710447
MT_353,XGBoost,21.87958014966302
MT_354,Naive_Blend,17.754820538512924
MT_355,XGBoost,28.966670735433027
MT_356,Naive_24h,16.644503852897753
MT_357,XGBoost,136.24703098574045
MT_358,XGBoost,72.73293923932746
MT_359,XGBoost,10.33384848424374
MT_360,XGBoost,39.25990259294208
MT_361,XGBoost,20.61359781675868
MT_362,Naive_24h,3633.655062385531
MT_363,LGB_XGB_Blend,144.560368108503
MT_364,Naive_Blend,236.50015349234096
MT_365,Naive_24h,9.285633694857939
MT_366,Naive_168h,3.6665368593762397
MT_367,Naive_168h,44.595230959777716
MT_368,Naive_168h,15.116721932769533
MT_369,XGBoost,40.106089853507164
MT_370,LGB_XGB_Blend,1629.953110479937
